sample_id,cluster_label
0,1
1,2
2,3
3,1
4,4
5,4
6,4
7,5
8,2
9,3
10,6
11,5
12,3
13,2
14,5
15,2
16,1
17,3
18,3
19,5
20,5
21,2
22,6
23,4
24,5
25,4
26,5
27,1
28,6
29,4
30,3
31,6
32,3
33,5
34,4
35,3
36,3
37,5
38,6
39,3
40,4
41,5
42,4
43,3
44,3
45,4
46,5
47,5
48,3
49,4
50,5
51,4
52,2
53,4
54,2
55,6
56,1
57,6
58,4
59,5
60,4
61,3
62,1
63,6
64,3
65,2
66,5
67,1
68,5
69,5
70,5
71,2
72,3
73,3
74,6
75,4
76,4
77,3
78,3
79,5
80,4
81,1
82,3
83,6
84,4
85,6
86,3
87,6
88,6
89,3
90,2
91,5
92,6
93,6
94,6
95,5
96,6
97,5
98,1
99,1
100,5
101,2
102,6
103,1
104,6
105,4
106,3
107,6
108,1
109,3
110,4
111,2
112,6
113,1
114,3
115,3
116,4
117,2
118,5
119,6
120,5
121,4
122,2
123,5
124,1
125,5
126,3
127,2
128,6
129,5
130,3
131,6
132,1
133,2
134,4
135,4
136,2
137,1
138,1
139,3
140,2
141,3
142,3
143,6
144,1
145,3
146,2
147,2
148,6
149,1
150,6
151,5
152,6
153,3
154,1
155,5
156,3
157,6
158,6
159,2
160,4
161,3
162,1
163,1
164,4
165,2
166,2
167,5
168,5
169,3
170,6
171,2
172,6
173,5
174,5
175,6
176,6
177,6
178,6
179,1
180,6
181,4
182,5
183,5
184,3
185,4
186,3
187,2
188,4
189,3
190,4
191,6
192,2
193,4
194,2
195,2
196,1
197,1
198,1
199,1
200,1
201,2
202,1
203,1
204,3
205,5
206,6
207,4
208,1
209,3
210,5
211,3
212,1
213,1
214,3
215,5
216,6
217,4
218,3
219,4
220,1
221,4
222,3
223,2
224,6
225,3
226,4
227,6
228,4
229,6
230,6
231,5
232,5
233,2
234,5
235,1
236,2
237,2
238,4
239,1
240,4
241,6
242,1
243,3
244,1
245,6
246,4
247,1
248,2
249,4
250,2
251,3
252,2
253,2
254,2
255,3
256,1
257,3
258,5
259,1
260,4
261,1
262,4
263,1
264,3
265,3
266,4
267,3
268,2
269,2
270,2
271,6
272,5
273,1
274,2
275,6
276,1
277,3
278,4
279,1
280,1
281,4
282,6
283,2
284,5
285,1
286,2
287,4
288,5
289,5
290,1
291,3
292,4
293,4
294,3
295,2
296,3
297,4
298,4
299,3
300,2
301,3
302,2
303,3
304,3
305,3
306,3
307,6
308,6
309,6
310,1
311,2
312,3
313,5
314,1
315,4
316,3
317,4
318,2
319,2
320,2
321,2
322,6
323,1
324,1
325,5
326,3
327,1
328,5
329,6
330,5
331,1
332,2
333,6
334,4
335,2
336,6
337,6
338,4
339,4
340,1
341,3
342,2
343,2
344,3
345,5
346,6
347,1
348,5
349,1
350,1
351,1
352,4
353,5
354,2
355,1
356,2
357,3
358,4
359,2
360,3
361,6
362,1
363,1
364,5
365,3
366,2
367,4
368,1
369,1
370,6
371,3
372,1
373,5
374,6
375,3
376,6
377,1
378,-1
379,1
380,5
381,2
382,6
383,5
384,4
385,4
386,2
387,4
388,4
389,2
390,1
391,6
392,3
393,2
394,3
395,4
396,4
397,1
398,4
399,6
400,5
401,2
402,6
403,4
404,3
405,3
406,6
407,3
408,1
409,4
410,1
411,6
412,5
413,1
414,3
415,3
416,2
417,3
418,4
419,6
420,2
421,3
422,5
423,3
424,2
425,4
426,2
427,4
428,4
429,6
430,6
431,6
432,1
433,1
434,6
435,2
436,2
437,4
438,2
439,3
440,6
441,6
442,4
443,3
444,1
445,3
446,2
447,1
448,2
449,6
450,4
451,1
452,3
453,6
454,5
455,6
456,2
457,3
458,5
459,1
460,3
461,5
462,2
463,6
464,4
465,2
466,5
467,2
468,1
469,2
470,2
471,1
472,3
473,2
474,3
475,2
476,5
477,4
478,6
479,2
480,5
481,1
482,4
483,3
484,1
485,6
486,2
487,2
488,5
489,-1
490,3
491,1
492,2
493,5
494,4
495,2
496,1
497,6
498,4
499,3
500,4
501,1
502,6
503,2
504,2
505,4
506,1
507,6
508,4
509,3
510,3
511,6
512,6
513,6
514,2
515,6
516,6
517,1
518,2
519,6
520,5
521,4
522,5
523,5
524,2
525,6
526,2
527,5
528,4
529,4
530,2
531,6
532,4
533,5
534,4
535,1
536,5
537,4
538,4
539,5
540,2
541,5
542,3
543,1
544,3
545,3
546,4
547,3
548,4
549,6
550,4
551,3
552,1
553,2
554,4
555,6
556,4
557,6
558,2
559,3
560,1
561,4
562,6
563,5
564,5
565,6
566,6
567,2
568,6
569,5
570,3
571,3
572,2
573,6
574,2
575,5
576,4
577,3
578,5
579,4
580,6
581,6
582,2
583,4
584,3
585,5
586,6
587,1
588,2
589,6
590,4
591,1
592,3
593,3
594,3
595,2
596,6
597,5
598,6
599,1
600,6
601,5
602,2
603,3
604,3
605,4
606,4
607,1
608,1
609,1
610,2
611,6
612,4
613,2
614,1
615,4
616,6
617,1
618,5
619,6
620,1
621,1
622,5
623,1
624,4
625,2
626,6
627,1
628,1
629,5
630,5
631,4
632,5
633,4
634,6
635,6
636,1
637,5
638,2
639,1
640,3
641,3
642,2
643,1
644,6
645,1
646,5
647,6
648,5
649,3
650,3
651,3
652,1
653,2
654,5
655,3
656,4
657,3
658,3
659,4
660,3
661,4
662,3
663,4
664,5
665,5
666,1
667,5
668,2
669,3
670,6
671,4
672,6
673,3
674,6
675,4
676,4
677,2
678,4
679,2
680,6
681,5
682,1
683,2
684,6
685,1
686,6
687,4
688,6
689,6
690,2
691,3
692,6
693,3
694,4
695,2
696,4
697,3
698,3
699,5
700,1
701,4
702,4
703,5
704,2
705,4
706,3
707,6
708,2
709,6
710,6
711,4
712,3
713,3
714,1
715,6
716,3
717,4
718,3
719,4
720,1
721,4
722,5
723,5
724,3
725,2
726,4
727,4
728,4
729,2
730,6
731,1
732,6
733,1
734,3
735,4
736,4
737,3
738,6
739,2
740,3
741,1
742,5
743,5
744,3
745,2
746,6
747,2
748,3
749,2
750,1
751,5
752,6
753,4
754,1
755,3
756,3
757,3
758,1
759,2
760,6
761,2
762,4
763,1
764,5
765,1
766,4
767,2
768,6
769,2
770,1
771,3
772,6
773,1
774,2
775,4
776,2
777,2
778,2
779,6
780,3
781,2
782,3
783,5
784,2
785,6
786,5
787,3
788,5
789,3
790,1
791,1
792,3
793,4
794,6
795,5
796,4
797,2
798,1
799,2
800,5
801,2
802,6
803,3
804,2
805,3
806,1
807,3
808,1
809,3
810,5
811,1
812,6
813,2
814,3
815,6
816,2
817,1
818,2
819,1
820,3
821,2
822,5
823,6
824,4
825,6
826,4
827,6
828,3
829,5
830,5
831,6
832,5
833,2
834,4
835,1
836,2
837,2
838,4
839,1
840,2
841,3
842,6
843,1
844,3
845,4
846,1
847,6
848,6
849,5
850,6
851,6
852,4
853,3
854,4
855,2
856,1
857,3
858,1
859,6
860,3
861,6
862,4
863,2
864,1
865,1
866,3
867,4
868,6
869,2
870,1
871,1
872,4
873,3
874,3
875,1
876,3
877,3
878,3
879,2
880,2
881,2
882,1
883,2
884,4
885,4
886,2
887,2
888,4
889,2
890,4
891,2
892,3
893,2
894,6
895,5
896,2
897,1
898,6
899,1
900,2
901,1
902,6
903,4
904,1
905,6
906,1
907,3
908,2
909,3
910,3
911,3
912,1
913,5
914,3
915,6
916,2
917,6
918,6
919,2
920,5
921,1
922,1
923,6
924,1
925,1
926,4
927,2
928,3
929,2
930,6
931,5
932,2
933,4
934,4
935,5
936,1
937,4
938,4
939,4
940,3
941,4
942,3
943,3
944,1
945,6
946,3
947,1
948,2
949,3
950,4
951,1
952,1
953,3
954,1
955,2
956,3
957,3
958,3
959,1
960,6
961,1
