sentence1;sentence2;label
Почему же такие богатые мусульманские страны, как Саудовская Аравия, Бахрейн, Оман, Катар, Катар, Кувейт и Объединенные Арабские Эмираты отказываются принимать беженцев?;Почему богатые мусульманские страны, такие как Кувайт, Оман, Катар, Саудовская Аравия, Бахрейн и Объединенные Арабские Эмираты отказываются принять каких-либо беженцев?;1
Что представляет собой государственно-частное партнерство (ГЧП)?;Что представляет собой государственно-частное партнерство (ГЧП)?;1
В чем различия между объектно-ориентированным подходом и объектно-ориентированным подходом?;В чем различия между объектно-ориентированным подходом и объектно-ориентированным подходом?;1
Являются ли современные языки (т.е. латынь, древнегреческий, санскрит, церковнославянский, китайский и т.д.) более сложными для изучения, чем старые языки?;Являются ли древние языки (т.е. латынь, древнегреческий, санскрит, церковнославянский, китайский и т.д.) более сложными для изучения, чем современные языки?;0
Если вы можете любить кого-то, но не любить их, можете ли вы любить кого-то, но не любить их?;Если вы можете любить кого-то, но не любить их, можете ли вы любить кого-то, но не любить их?;1
В чем разница между коммерческим банкингом и розничным банкингом?;В чем разница между розничным банкингом и коммерческим банкингом?;1
В чем разница между телефоном с одной камерой и телефоном с двумя камерами?;В чем заключается разница между телефоном с двойной камерой и телефоном с одной камерой?;1
Мы знаем, что Марк Цукерберг восхищался Стивом Джобсом, но восхищался ли Стивом Джобсом Марк Цукерберг?;Знаем, что Стив Джобс восхищался Марком Цукербергом, но восхищался ли Марк Цукерберг Стив Джобсом?;0
В чем разница между квантовой физикой и классической физикой?;В чем разница между классической физикой и квантовой физикой?;1
В чем разница между гражданским и уголовным законодательством?;В чем разница между уголовным и гражданским законодательством?;1
В чем разница между инфракрасной радиацией и ультрафиолетовым излучением?;Какова разница между сверхфиолетовой радиацией и инфракрасным излучением?;0
Как превратить акустическую гитару в электрогитару?;Как превратить электрогитару в акустическую гитару?;0
В чем разница между долгосрочным, краткосрочным и среднесрочным займом?;В чем разница между краткосрочным, среднесрочным и долгосрочным займом?;1
В чем разница между городскими и сельскими районами?;В чем разница между сельскими и городскими районами?;1
В чем разница между насосом низкого давления и насосом высокого давления?;Что отличается от насоса с высоким давлением и низким давлением?;1
Должен ли я поступить на службу в Военно-воздушные силы или военно-морской флот?;Надо ли мне поступить на вооружение Военно-морских или Военно-воздушных сил?;1
Что ты думаешь о палестино-израильском конфликте?;Что Вы думаете об израильско-палестинском конфликте?;1
Считаете ли Вы, что мужчины с короткими волосами привлекательнее, чем с длинными?;Считаете ли вы, что мужчины с длинными волосами более привлекательны, чем короткие?;0
Нравятся ли немецким мужчинам азиатские девушки? Если да, то почему? Если нет, то почему?;Нравятся ли азиатским мужчинам немецкие девушки? Если да, то почему? Если нет, то почему?;0
В чем разница между пакистанским Пенджабом и индийским Пенджабом?;В чем разница между индийским Пенджабом и пакистанским Пенджабом?;1
Почему одни говорят, что 1 килобайт - это 1024 байта, а другие - что это 1000 байтов?;Почему некоторые люди говорят 1 килобайт's 1024 байта, а другие говорят, что это 1000 байтов?;1
Что же такое арабо-израильский конфликт?;"Что представляет собой ""арабо-израильский конфликт""?";1
В чем разница между латиноамериканцами и коренными американцами?;Какая разница между коренными американцами и американцами латиноамериканцами?;1
Почему самолет, движущийся в противоположном направлении вращения Земли, не движется быстрее, чем самолёт, движущийся в том же направлении вращения Земли?;Почему самолет, движущийся в том же направлении вращения Земли, не движется быстрее, чем самолет, движущийся в противоположном направлении вращения Земли?;0
Насколько правдоподобно представление о том, что Дональд Трамп мог победить Берни Сандерса на президентских выборах 2016 года?;Насколько оправдано предположение, что Берни Сандерс мог одержать победу над Дональдом Трампом на президентских выборах 2016 года?;0
Кто выиграет в матче английской премьер-лиги между Вест Хэм Юнайтед и Манчестер Юнайтед?;Кто выиграет в матче между Манчестер Юнайтед и Вест Хэм Юнайтед английской Премьер лиги?;1
