;sentence1;sentence2;label
1872;От автобусной остановки автобусы следуют до городков Бейлдон, Брэд, Клекхитон, Дьюсбери, Элланд, Халифакс, Хаддерсфилд, Лидс, Уэйкфилд и Шипли.;Автобусы идут от автовокзала в Бейлдон, Брэфсборо, Кликхитон, Дьюсбери, Элланд, Халик-факс, Хаддерсфилд, Лидс, Шипли и Уэйкфилд.;0
308;Стюартстоун расположен на севере, Диксвилль на востоке и Колумбия на юге.;К северу находится Стюартстоун, к востоку - Колумбия, а к югу - Диксвилл.;0
2434;"Он играл за клуб ""Kansas City Royals"" в течение десяти игр в сезоне 1991 года и четырех игр во время сезона 1992 года ""Chicago Cubs"".";Он сыграл за Chicago Cubs в течение десяти матчей в сезоне 1991 года в Kansas City Royals и четыре матча в сезоне 1992 года в Kansas City Royals.;0
1290;"""Энкор"" слился с ""Сибирскими авиалиниями"" в 2001 году.";"В 2001 году авиакомпания ""Сибирь"" объединилась с Enkor.";0
3159;В апреле 2014 президент Кеннет Свендсен ушел в отставку. Рэнди Гарфилд был назначен президентом в марте 2014 года.;Президент Кеннет Свендсен ушел в отставку в апреле 2014, а Рэнди Гарфилд был назначен президентом в марте 2014 года.;1
2679;Высокие уровни экспрессии ITGB8 ассоциируются с инвазивными ангиогенными и слабоинвазивными глиобластомными опухолями. Обратно низкая экспрессия ITGB8 коррелирует с высоковысоким, но низким уровнем ангиогенических опухолей.;Высокий уровень экспрессии ITGB8 связывают с высоко ангиогенными и остроатакующими глиобластомовыми опухолями. Наоборот, низкий уровень экспрессии ITGB8 коррелирует с высокоинвазивными, но низко-ангиогенными опухолями.;0
2977;"После победы в Суперлиге в 2001 году рыцари отправились в Англию, где будут играть на Мировом клубном турнире 2002 года против чемпионов NRL ""Брэдфордз Буллс"".";"Выиграв Суперлигу 2001 года, англичане отправились в Англию, чтобы сыграть Мировой Клубный Вызов 2002 года против чемпионов NRL, ""Брэдли Буллз"".";0
2933;Дидковский спродюсировал или исполнил несколько компакт-дисков, в том числе:;Дидковский выступил для нескольких дисков или исполнил композиции на них, в частности:;0
832;Тур прибыл в Шанхай 12 июля 2008 г. и Бангкок, Таиланд, 22 ноября 2008 г.;Тур достиг 12 июля 2008 года в Шанхае и 22 ноября 2008 в Бангкоке, Таиланд.;1
3775;В каждом отчете, который был обновлен в феврале 2011 года, содержатся данные за завершившийся учебный год.;который был завершен в феврале 2011 года. В каждом отчете содержатся данные за предыдущий обновленный учебный год.;0
948;Впервые в истории Лиги Гари Гайт из Рочестера играл против своего брата-близнеца Пола Гейта из Филадельфии.;Впервые в истории лиги Пол Гейт играл за Рочестер против своего брата-близнеца Гари Гейта из Филадельфии.;0
522;Фашистский режим говорил также о создании союза с новым режимом в Германии.;Новый режим говорил и о союзе с фашистским режимом в Германии.;0
36;Школа входит в округ Джефферсон второго региона VHSL (Virginia High School League).;Школа находится в округе Джефферсон региона II Высшей Школьной Лиги Вирджинии (VHSL).;0
1252;До 1976 года Хант вернулся в Венис, Калифорния, когда переехал в Нью-Йорк.;Хант вернулся в Нью-Йорк, пока в 1976 году не переехал в Венец, Калифорния.;0
689;Amen это второй сингл из третьего студийного альбома Halestorm Into the Wild Life.;Amen - это третий сингл со второго студийного альбома Halestorm Into the Wild Life.;0
114;Деление проходит через или затрагивает штаты Миссисипи, Теннесси, Вирджиния, Северная Каролина, Южная Каролина, Джорджия, Алабама, Западная Виргиния и Кентукки.;Раскол проходит через или затрагивает штаты Западная Вирджиния, Виргинию, Северную Каролину, Южную Каролину, Джорджию, Алабаму, Миссисипи, Теннесси и Кентукки.;1
3244;13-й сезон Кубка мира начался в Японии в декабре 1978 года и завершился в марте 1979 года в Австрии.;13-й сезон чемпионата мира стартовал в декабре 1978 года в Японии и завершился в марте 1979 года в Австрии.;1
3282;Примерно 90% всего табака, выращиваемого в Канаде, производится здесь.;Здесь выращивается около 90% производимых в Канаде табачных изделий.;0
403;Фишман имеет степень бакалавра в университете Брауна и степень магистра экономики в Колумбийском университете.;Фишман имеет диплом бакалавра от Университета Брауна и степень магистра в области экономики от Колумбийского Университета.;1
1450;Сезон 1990 года Национальной футбольной лиги Южной Австралии был 110-м сезоном главных Австралийских соревнований по правилам футбола в Южной Австралии.;Сезон 1990 года Южноавстралийской национальной футбольной лиги стал 110-м сезоном самого высокого австралийского футбольного соревнования по правилам в Южной Австралии.;1
2564;В 1974 году он получил должности концертмейстера Бостонского симфонического оркестра и ассистента дирижера Boston Pops, где провел 11 лет.;В 1974 году он выиграл должность Concertmaster of Boston Pops и Associate Concertmaster of the Boston Symphony, где он провёл 11 лет.;0
291;Хайес родилась в Нью-Йорке, но выросла в Северной Каролине.;Хайес родилась в Северной Каролине, но выросла в Нью-Йорке.;0
3184;Редеди, Редедия, Редедия или Ридада (умерли в 1022 году) - легендарный лидер Кассогов - черкесского племени, родом с Северного Кавказа.;Редеди, Редедия, Кассоги или Ридада (умер в 1022 году) были легендарным лидером Редедии, черкесского племени с Северного Кавказа.;0
684;Три верхних этажа были завершены в 1885 году, а первые три этажа были завершены в 1906 году.;Первые три этажа были завершены в 1885 году, а верхние три этажа были завершены в 1906 году.;0
2819;Он был сыном Томаса Коркера, а также членом семьи Кекеров, потомками Томаса Стивена Кекера.;Он был сыном Томаса Стивена Какера и членом семейства Какера, потомком Томаса Коркера.;0
1485;Xstrata была поглощена швейцарской горнорудной компанией Falconbridge Ltd. в 2006 году.;В 2006 году компанию Xstrata поглотила швейцарская горнодобывающая компания Falconbridge Ltd.;1
2092;H02 - это региональная дорога (H-Highway) во Львовской области и Тернопольской области Украины. Она проходит с запада на восток и соединяет тернополь с Львовом.;H02 - это региональная дорога (H-Highway) во Львовской области и Тернопольской области Украины. Она проходит с запада на восток и соединяет тернополь с Львовом.;1
1409;Эди пытается попасть на Майк пораньше, чтобы ему помочь, но Сюзан неожиданно появляется перед ней.;Эди пытается добраться до Майка пораньше, чтобы помочь ему, но Сьюзен неожиданно появилась перед ней.;1
3146;Это означает, что гомотопическая эквивалентность между М, W и N представляет собой гомотопию C-изоморфизма.;Это означает, что гомотопная эквивалентность M, W и N - гомотопи C-изоморфизму.;1
3010;Christopher Llewellyn (урожденный Кристофер Гриффитс) - актер, ставший известным благодаря роли логана в фильме Where Were We... (2002).;"Кристофер Гриффитс (англ. Christopher Llewellyn) - актер, наиболее известный по роли Логана в фильме 2002 года ""Where Were We..."".";1
1121;Вариант T4 оснащен 1,6-литровым мотором с турбонаддувом EcoBoost и доступен исключительно в Азии и частях Европы.;Вариант T4 оборудован двигателем EcoBoost объемом 1,6 л с турбонаддувом, предлагается только в Европе и некоторых частях Азии.;0
3155;Найджел Рэнделл Эванс (Nigel Randell Evans) был старшим сыном главнокомандующего военно-воздушными силами сэра Дональда Рэндэлла Иванса (1912-1975) и Элвина Эвенса.;Найджел Рэнделл Эванс (Nigel Randell Evans) был старшим сыном главнокомандующего военно-воздушными силами сэра Дональда Рэндла Еванса (1912-1975) и Эллайна Эвенса.;1
3644;Выборы штата в Виктории в 1945 году состоялись в субботу, 10 ноября 1945 года, в австралийском штате Виктория, для избрания 65 членов законодательного собрания штата.;Выборы 1945 года в австралийском штате Виктория состоялись в субботу, 10 ноября 1945 года, и на них были избраны 65 членов законодательного собрания штата.;1
2528;Как политическое движение, национал-большевизм (Nazbol) сочетает в себе элементы радикального национализма (особенно русский национализм) и Большевизма.;Как политическое движение, национал-большевизм (Nazbol) соединяет элементы русского национализма (особенно радикальный национализм) и Большевизма.;0
1120;Младенец, разумеется, оказывается Майклом, и откровение запрещает брак между ним и Кейси.;Младенец, разумеется, оказывается Кейси, и откровение запрещает брак между ним и Майклом.;0
2962;Наиболее распространенными другими странами рождения были Китай 14,7%, Филиппины 7,0%, Индия 5,1%, Непал 2,6% и Англия 1,9%.;Большинство других стран совместного рождения были Китай 14,7%, Непал 7,0%, Индия 5,1%, Филиппины 2,6%, и Великобритания 1,9%.;0
3018;Вакония (Waconia) - озеро, расположенное в границах города на озере Вакония, в округе Карвер штата Миннесота, США.;Waconia - это озеро в городских границах озера Waconia в округе Карвер, штат Миннесота, США.;1
60;В 1853 г. он переехал в Аттика, штат Индиана, а в 1859 г. - в Блумингтон, штат Иллинойс.;В 1853 он переехал в Блумингтон, Иллинойс, и в 1859 в Аттика, Индиана.;0
3491;На Чемпионате мира по лыжным видам спорта 2009 г. в Либерце Шерпа финишировала 127-й в индивидуальных спринтерских гонках, находясь в смешанной гонке преследования на 30 км.;На чемпионате мира по лыжным видам спорта 2009 года в Либерце Шерпа финишировала 127-й в смешанном спринте, пропустив вперед себя в индивидуальной гонке преследования на 30 км.;0
516;Он находится в 2 км к северо-западу от города Агиос Айос и в 20 км к западу от центра города Афины.;Она расположена в 2 км к западу от города Агиос и в 20 км к северо-западу от центра Афин.;0
1368;Дамба имеет около 110 метров в длину, а ее верх составляет около 5 метров в ширину.;Дамба имеет длину около 110 метров, а ее вершина - около 5 метров в ширину.;1
1203;Тринадцатая эскадрилья авианосцев была объединена с 913-й авиазаправочной эскадрой в сентябре 1985 года, однако с тех пор объединенная эскадра не действует.;Тринадцатая эскадра авианосцев была объединена в сентябре 1985 года с 913-й эскадрильей дозаправки в воздухе, но с тех пор объединенная эскадрон больше не действует.;1
2787;По данным австралийской переписи населения 2006 года, 2 014 албанцев родились в Австралии, в то время как 315 заявили о своем происхождении либо в одиночку, либо с другим предком.;По данным переписи населения Албании 2006 года, 2 014 албанцев родились в Австралии, в то время как 315 заявили о своем австралийском происхождении либо в одиночку, либо с другим предком.;0
2139;Он продолжил работу на этом посту, когда Уинстон Черчилль пришел к власти в 1940 году, а также был генеральным почтмейстером при Черчилле в период с 1943 по 1945 год.;Он продолжил на этом посту, когда Винстон Черчилль пришел к власти в 1940, а также был Черчилль в генеральном почтмейстере между 1943 и 1945.;1
3774;В каждом отчете, который был обновлен в феврале 2011 года, содержатся данные за завершившийся учебный год.;В каждом докладе, который был завершен в феврале 2011 года, содержатся данные за обновленный учебный год.;0
386;Мюнхенская Бавария была вторым немецким клубом, выигравшим Межконтинентальный Кубок, после Боруссии Дортмунд в 1976 году.;ФК Бавария Мюнхен стал вторым немецким клубом, выигравшим Межконтинентальный Кубок в 1976 году после дортмундской Боруссии.;1
48;Группа была основана в Лас-Вегасе, а впоследствии переехала в Лос-Анджелес.;Группа была основана в Лос-Анджелесе, а впоследствии переведена в Лас-Вегас.;0
477;Наиболее сохранившаяся латинская литература - это латиница, начиная со II века до н.э. и заканчивая I веком нашей эры.;Большая часть уцелевшей латинской литературы составляет классическую латынь со II века до нашей эры по I век нашей эры.;1
1504;Roxanne была создана в Риверсайде, Калифорния, в 1986 году вокалистом Джейми Брауном и басистом Джо Инфантом, к которым присоединились гитарист Джон Батлер и барабанщик Дейв Лэндри.;Roxanne была создана в Риверсайде, Калифорния в 1986 году вокалистом Джейми Брауном и басистом Джоном Батлером, к ним присоединились гитарист Дейв Лендри и барабанщик Джо Инфант.;0
1226;У первого узкий 0 в дате, в то время как у второго и третьего широкий 0 в разных позициях.;У первого в дате имеется широкий 0, в то время как у второго и третьего - узкий 0 в разных позициях.;0
2134;Бразилия предложила Росасу военный союз: Росас возьмет Уругвай при поддержке Аргентины, а Бразилия возьмет Республику Риогранде при поддержке Бразилии.;Бразилия предложила военный союз с Росасом: Росас захватит Уругвай при поддержке Бразилии, а Бразилия захватит Республику Риограндез при поддержке Аргентины.;0
343;Пятое было найдено в 2014-м, а четвертое увидели в 2015 году.;Четвертую нашли в 2014 году, а пятую видели в 2015.;0
